Manuel-Ruben-PF2-solid_clip	s-MPFSW1_clip	s-MPFSW2_clip	s-MPFSW3_clip	s-Mst-SWPF1_clip	s-Mst-SWPF2_clip	s-PFSW1_clip	s-PFSW10_clip	s-PFSW11_clip	s-PFSW12_clip	s-PFSW13_clip	s-PFSW14_clip	s-PFSW15_clip	s-PFSW16_clip	s-PFSW17_clip	s-PFSW18_clip	s-PFSW19_clip	s-PFSW2_clip	s-PFSW20_clip	s-PFSW3_clip	s-PFSW4_clip	s-PFSW5_clip	s-PFSW6_clip	s-PFSW7_clip	s-PFSW8_clip	s-PFSW9_clip	s-st-SWPF1_clip	s-st-SWPF2_clip	s-st-SWPF3_clip	s-st-SWPF4_clip	s-st-SWPF5_clip	s-st-SWPF6_clip	w-AT-112-1-MRFilter1_clip	w-AT-112-1-MRFilter2_clip	w-AT-114-1-MRFilter1_clip	w-AT-114-1-MRFilter2_clip	w-MPFSW1_clip	w-MPFSW2_clip	w-MPFSW3_clip	w-Mst-SW1_clip	w-Mst-SW2_clip	w-Mst-SWPF1_clip	w-Mst-SWPF2_clip	w-negativ-25c_clip	w-negativ-30c_clip	w-OriginalSW1_clip	w-OriginalSW2_clip	w-OriginalSW3_clip	w-PFSW1_clip	w-PFSW10_clip	w-PFSW11_clip	w-PFSW12_clip	w-PFSW13_clip	w-PFSW14_clip	w-PFSW15_clip	w-PFSW16_clip	w-PFSW17_clip	w-PFSW18_clip	w-PFSW19_clip	w-PFSW2_clip	w-PFSW20_clip	w-PFSW3_clip	w-PFSW4_clip	w-PFSW5_clip	w-PFSW6_clip	w-PFSW7_clip	w-PFSW8_clip	w-PFSW9_clip	w-st-SW1_clip	w-st-SW2_clip	w-st-SW3_clip	w-st-SW4_clip	w-st-SW5_clip	w-st-SW6_clip	w-st-SWPF1_clip	w-st-SWPF2_clip	w-st-SWPF3_clip	w-st-SWPF4_clip	w-st-SWPF5_clip	w-st-SWPF6_clip
asv1992	14	0	1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	9	0	18	5	2	8	7	4	3	10	8	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	8	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv1993	11	3	1	0	1	1	8	3	0	0	0	3	1	0	2	1	3	13	2	5	5	1	4	2	7	1	18	5	1	3	4	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv1994	8	3	0	1	0	3	8	5	5	1	4	3	1	3	5	4	2	13	0	12	1	8	3	3	4	1	17	4	2	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv1995	1	1	0	0	26	0	1	0	0	1	1	1	1	0	2	2	0	7	0	1	1	0	0	0	1	0	1	1	1	0	3	20	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	2	13	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9
asv1996	0	0	0	0	0	0	0	0	11	0	0	3	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	14	0	0	11	60	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv1997	19	0	1	3	1	1	5	4	1	2	0	1	1	0	0	3	1	17	1	9	7	3	5	4	4	1	21	5	2	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
asv1998	10	0	0	1	0	0	3	0	0	2	1	0	0	1	1	0	1	11	1	3	1	2	2	0	0	1	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	2	2	0	0	0	1	0	0	0	0	18	0	44	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
asv1999	9	0	1	0	0	1	9	1	2	2	1	0	0	0	0	3	2	13	0	12	4	3	2	5	1	1	25	4	6	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	0	9	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2000	8	0	1	4	0	4	2	0	1	0	0	0	1	1	1	0	2	10	2	5	3	1	1	0	2	1	7	5	2	7	3	4	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	1	0	13	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2001	0	6	4	2	0	0	0	6	7	7	6	7	9	4	4	3	2	0	2	0	0	1	0	1	1	3	0	0	0	0	0	0	0	3	16	21	1	6	0	0	0	0	0	0	0	2	2	3	1	0	1	0	0	2	0	0	0	0	1	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2002	0	3	3	11	0	0	0	0	0	0	0	2	0	0	25	83	6	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
asv2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	26	26	9	0	0	0	0	0	0	0	0	0	8	7	6	2	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
asv2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	50	9	8	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	66	15	3	0	0	0	0	0	0	0	0	0	4	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	2	8	0	0	0	0	0	0	0	0	0	13	21	20	7	0	0	0	0	0	0	0	0	0	0	14	0	21	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2007	17	1	0	1	3	0	12	2	4	1	3	3	3	3	1	2	1	6	1	10	0	3	3	6	4	2	19	3	3	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2008	12	0	0	0	0	0	9	1	0	0	1	0	0	0	0	0	1	17	0	14	8	5	1	4	1	0	23	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	0	6	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0
asv2009	7	3	1	1	1	2	19	2	1	1	2	0	4	1	0	5	1	8	1	6	6	3	2	5	3	3	13	1	4	4	6	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	1	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2010	7	1	0	0	1	1	11	0	1	1	2	0	3	1	4	0	4	18	0	14	8	5	6	7	3	1	22	5	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2011	7	0	0	1	0	1	15	1	2	6	1	2	2	1	2	1	1	15	0	11	5	4	3	2	7	0	9	15	6	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2012	3	2	1	1	0	6	0	1	2	0	1	0	1	2	3	1	0	10	0	1	3	1	0	1	2	1	10	6	2	1	0	0	0	0	0	0	0	2	0	0	0	1	8	0	0	0	0	0	17	0	0	0	0	2	0	1	0	0	0	19	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
asv2013	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	73	38	3	11	0	0	0	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	9	7	9	0	1	0	0	0	0	0	0	0	14	22	23	7	1	0	0	0	0	0	0	0	0	0	4	0	12	0	0	1	0	0	1	8	0	0	1	0	0	0	1	0	0	0	0
asv2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	26	23	32	7	0	2	0	1	0	0	0	0	0	0	17	0	24	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
asv2016	16	0	5	3	0	0	8	2	2	2	1	2	0	0	2	5	1	17	0	6	5	2	0	2	3	0	15	4	6	1	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2017	16	2	0	0	0	1	9	1	0	2	0	1	1	1	1	3	0	17	0	16	6	4	5	3	1	2	15	3	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2018	11	1	1	1	1	5	9	3	3	6	2	5	1	1	1	0	3	11	1	12	2	6	1	4	5	4	11	4	6	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2019	11	0	0	2	1	0	18	1	2	2	1	2	2	2	2	0	2	10	0	11	5	12	4	6	7	2	22	5	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2020	8	0	1	2	2	1	5	1	0	0	1	0	3	0	7	0	1	6	4	3	2	2	2	11	2	1	15	5	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	13	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
asv2021	0	10	5	5	0	0	0	0	1	1	1	2	11	7	54	4	16	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2022	21	0	0	1	1	1	11	4	2	3	0	2	3	0	2	0	0	16	2	15	7	5	4	4	4	3	12	8	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2023	5	3	1	3	2	1	7	3	2	1	2	3	1	1	0	2	1	9	0	7	4	4	1	3	4	0	15	7	2	2	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	1	8	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2024	0	8	8	11	0	0	0	9	5	9	5	8	5	2	15	12	11	0	14	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2025	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	6	1	2	0	0	0	1	0	0	0	0	0	12	25	16	5	1	0	2	0	0	0	0	0	0	1	9	0	5	0	0	0	0	1	0	34	0	0	0	0	0	0	0	0	0	0	0
asv2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	10	36	1	4	1	0	1	0	0	0	0	0	0	18	11	18	2	0	0	0	0	0	0	0	0	1	0	12	0	12	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0
asv2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	22	35	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	21	4	7	0	0	0	0	0	0	0	0	0	13	26	16	8	2	0	0	0	0	0	0	0	0	0	13	0	5	3	1	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
asv2029	17	0	0	0	0	1	9	2	2	0	1	2	1	0	0	1	2	23	0	17	11	4	4	3	6	0	18	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
asv2030	15	2	0	0	0	2	16	7	0	2	0	4	2	1	6	3	3	23	0	9	5	4	3	2	2	6	10	1	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2031	15	1	0	0	1	2	14	1	7	3	2	1	1	1	4	3	1	14	3	14	9	3	2	3	2	2	16	1	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2032	14	1	1	0	0	3	8	3	1	4	2	2	3	3	2	6	5	16	0	11	2	3	2	4	1	2	18	3	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2033	9	0	2	0	0	0	1	0	2	0	1	1	3	2	1	1	1	6	1	9	2	0	1	2	2	1	9	3	1	2	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	1	0	1	0	26	0	19	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
asv2034	6	0	2	0	0	0	9	1	2	0	0	3	0	0	3	1	2	8	0	6	3	1	2	4	1	1	15	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	2	0	0	2	0	0	1	0	2	0	14	0	5	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	3	1	2
asv2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	14	22	0	2	1	0	0	0	0	0	0	13	20	16	2	2	1	0	0	0	0	0	0	0	0	6	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	56	7	12	0	0	0	0	0	0	0	0	0	6	4	8	2	0	0	0	0	0	0	0	0	0	0	3	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2037	9	3	0	2	4	0	9	2	2	1	3	4	3	0	8	4	4	10	0	8	8	8	4	1	5	3	11	3	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2038	7	3	0	4	4	0	17	2	1	4	1	4	1	0	0	0	0	29	0	15	6	1	1	1	2	3	14	1	5	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2039	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	38	0	1	1	0	0	0	1	4	0	1	34	1	34	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
asv2040	0	8	9	2	0	1	0	14	1	4	1	20	11	15	22	0	4	0	9	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
asv2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	15	1	4	0	1	0	0	0	0	0	0	0	16	17	19	8	0	0	0	0	0	0	0	0	0	0	10	0	35	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2042	14	0	0	1	2	2	13	2	1	0	1	1	0	2	2	4	2	9	2	16	6	8	2	6	0	1	17	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2043	12	1	0	0	0	0	11	1	2	2	1	6	6	1	1	1	5	16	0	22	9	3	1	4	2	1	9	4	1	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2044	6	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	24	0	18	14	5	7	2	0	1	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2045	0	11	22	2	0	0	0	2	7	1	0	9	15	2	13	6	8	0	2	0	0	1	2	1	0	1	0	0	0	0	0	0	3	7	4	6	1	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2046	0	0	12	0	0	0	0	0	0	0	0	0	0	0	25	0	51	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	55	76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2048	23	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	17	0	22	4	2	5	5	0	0	17	5	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2049	17	1	0	0	0	2	7	3	3	3	1	3	0	1	1	2	3	10	0	21	5	13	5	4	3	0	9	9	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2050	12	0	0	1	3	1	10	0	0	1	0	1	1	0	1	1	2	13	0	11	10	4	8	3	0	0	14	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2051	4	1	0	1	0	3	5	3	1	1	3	4	2	0	4	2	2	10	2	3	1	6	1	7	3	2	11	11	2	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2052	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
asv2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	12	48	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	6	7	0	0	1	1	0	0	0	0	0	18	23	22	5	0	0	1	2	0	0	0	1	0	1	7	0	9	1	1	0	1	1	0	0	0	14	0	0	0	0	0	0	0	0	0
asv2055	28	1	1	1	0	2	8	0	0	0	0	0	1	1	3	2	0	8	0	11	8	6	3	3	1	4	18	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2056	18	0	1	0	1	4	9	2	3	0	0	0	3	1	3	5	1	11	1	13	6	6	0	2	3	1	22	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2057	18	1	0	1	0	0	17	1	2	0	0	0	2	0	0	0	0	23	0	21	9	2	1	1	0	0	12	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2058	14	1	0	0	0	0	8	2	1	1	0	4	0	1	3	1	4	8	2	13	6	2	1	1	3	1	9	5	4	6	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2059	13	0	0	5	2	0	5	6	3	2	1	2	1	0	3	2	3	13	1	7	5	1	1	3	2	0	17	4	4	1	2	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2060	11	2	2	1	0	4	9	3	2	3	0	5	7	1	4	3	1	5	0	8	6	1	2	4	2	2	6	3	5	5	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2061	9	0	0	0	3	1	25	3	1	1	1	1	2	0	0	1	1	19	1	18	7	2	5	2	5	1	12	1	0	5	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2062	9	0	1	0	1	2	11	3	3	2	1	3	2	1	2	3	1	14	2	5	5	3	3	5	4	4	11	4	3	2	7	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2063	0	0	4	0	2	0	12	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	90	0	0	4	0	0	0	0	0	0	0	0
asv2064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	34	19	27	17	0	0	17	0	0	0	0	0	0	1	4	1	3	0	2	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	32	6	3	0	0	0	0	0	0	0	0	0	4	4	8	3	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	4	12	0	2	0	0	0	0	0	0	0	9	21	22	1	0	0	1	1	0	0	2	2	1	1	6	1	7	1	2	2	0	1	0	6	0	0	0	0	0	0	0	1	0	0	1
asv2067	21	3	0	2	0	0	19	2	1	2	2	0	1	0	2	0	0	13	1	13	7	2	2	5	4	5	17	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2068	16	1	1	1	1	1	11	4	0	3	1	0	0	2	1	0	4	8	1	13	8	3	1	4	6	2	21	5	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv2069	15	0	1	0	0	0	9	1	2	0	1	4	1	1	2	1	3	13	2	6	5	3	2	3	2	2	13	8	4	3	6	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
